# Catalog from Petigura et al. (2013)
# http://arxiv.org/abs/1311.6806
# period radius radius_uncert
5.4411e+01 1.7300e+00 2.3000e-01
3.7864e+01 1.2700e+01 3.8400e+00
8.4800e+00 2.1000e+00 6.3000e-01
1.5054e+01 1.4200e+00 4.5000e-01
1.4707e+01 1.7700e+00 1.9000e-01
1.0561e+01 1.5600e+00 5.0000e-01
8.4800e+00 1.2800e+00 3.9000e-01
9.5770e+00 3.1200e+00 9.8000e-01
3.9753e+01 2.4300e+00 7.4000e-01
9.9980e+00 2.3200e+00 7.0000e-01
2.3198e+01 3.0400e+00 3.8000e-01
1.1375e+01 1.3120e+01 3.9400e+00
1.3724e+01 2.3300e+00 3.4000e-01
2.7496e+01 2.5000e+00 7.7000e-01
2.9940e+01 1.3400e+00 4.1000e-01
5.6477e+01 3.1300e+00 1.0000e+00
4.0110e+01 2.5800e+00 7.9000e-01
1.6302e+01 3.3600e+00 1.0200e+00
2.1347e+01 2.2700e+00 6.9000e-01
6.9910e+00 1.5000e+00 4.6000e-01
1.4375e+01 1.7200e+00 2.1000e-01
1.1474e+02 9.3900e+00 9.7000e-01
8.5900e+00 7.8000e-01 2.4000e-01
7.2492e+01 3.5600e+00 1.0900e+00
1.1773e+01 8.3000e-01 2.6000e-01
9.3280e+00 5.3000e-01 1.6000e-01
4.7449e+01 2.1700e+00 2.3000e-01
2.7665e+01 2.3800e+00 7.2000e-01
3.9314e+01 2.3300e+00 7.1000e-01
9.6930e+00 2.0100e+00 2.4000e-01
1.2062e+01 1.8000e+00 2.1000e-01
1.2706e+01 2.3000e+00 7.0000e-01
7.9640e+00 2.1500e+00 6.6000e-01
2.4615e+01 1.4800e+00 4.9000e-01
1.1192e+01 1.2800e+00 4.1000e-01
1.4863e+01 1.1400e+00 3.5000e-01
1.0940e+01 2.0800e+00 6.4000e-01
1.8684e+01 2.1200e+00 2.5000e-01
1.6104e+01 1.5800e+00 1.7000e-01
7.6260e+00 1.3000e+00 1.5000e-01
3.8229e+01 1.5900e+00 5.6000e-01
7.0540e+00 1.9600e+00 2.4000e-01
9.0710e+00 2.6500e+00 7.9000e-01
3.8506e+01 2.4300e+00 7.4000e-01
3.7865e+01 1.9700e+00 6.3000e-01
6.8887e+01 1.3100e+00 1.8000e-01
1.9586e+01 2.4200e+00 3.8000e-01
7.3440e+00 2.2200e+00 7.1000e-01
1.6550e+01 2.4500e+00 7.5000e-01
2.0720e+01 1.3900e+00 4.3000e-01
2.0720e+01 1.4400e+00 1.7000e-01
1.9783e+01 2.3000e+00 2.8000e-01
6.4000e+00 2.0700e+00 6.3000e-01
8.1810e+00 2.1400e+00 6.4000e-01
2.3585e+01 3.2900e+00 3.4000e-01
2.1376e+01 1.2300e+00 3.8000e-01
2.8986e+02 2.2500e+00 2.8000e-01
1.8428e+01 2.0500e+00 6.2000e-01
6.5650e+01 2.4400e+00 7.9000e-01
8.6000e+00 4.7800e+00 1.4400e+00
8.3080e+00 1.9600e+00 5.9000e-01
3.4174e+01 1.9400e+00 2.1000e-01
4.1889e+01 3.0000e+00 9.5000e-01
1.6782e+01 2.2600e+00 2.5000e-01
5.1329e+01 3.1300e+00 9.6000e-01
1.2376e+01 2.5000e+00 8.3000e-01
5.5638e+01 2.8000e+00 9.0000e-01
2.0111e+02 2.6800e+00 3.6000e-01
